Gene	Product	Virulence?
dhaL	dihydroxyacetone kinase subunit L	No
dhaM	dihydroxyacetone kinase subunit M	No
dhaR	DNA-binding transcriptional dual regulator DhaR	No
diaA	DnaA initiator-associating protein DiaA	No
dicA	DNA-binding transcriptional dual regulator DicA	No
dicB	cell division inhibition protein DicB	No
dicC	putative DNA-binding transcriptional regulator	No
dicD	DNA-binding transcriptional regulator DicD	No
dicF	small regulatory RNA DicF	No
digH	divisome localized glycosyl hydrolase	No
dinB	DNA polymerase IV	No
dinD	DNA damage-inducible protein D	No
dinF	DNA damage-inducible protein F	No
dinG	ATP-dependent DNA helicase DinG	No
dinI	DNA damage-inducible protein I	No
dinJ	antitoxin/DNA-binding transcriptional repressor	Yes
dinQ	membrane toxin DinQ	Yes
djlA	co-chaperone protein DjlA	No
djlB	J domain-containing protein DjlB	No
djlC	co-chaperone DjlC	No
dkgA	methylglyoxal reductase DkgA	No
dkgB	methylglyoxal reductase DkgB	No
dksA	RNA polymerase-binding transcription factor	No
dld	quinone-dependent D-lactate dehydrogenase	No
dmlA	D-malate/3-isopropylmalate dehydrogenase	No
dmlR	DNA-binding transcriptional regulator DmlR	No
dmsA	dimethyl sulfoxide reductase subunit A	No
dmsB	dimethyl sulfoxide reductase subunit B	No
dmsC	dimethyl sulfoxide reductase subunit C	No
dmsD	redox enzyme maturation protein DmsD	No
dnaA	chromosomal replication initiator protein DnaA	No
dnaB	replicative DNA helicase	No
dnaC	DNA replication protein DnaC	No
dnaE	DNA polymerase III subunit alpha	No
dnaG	DNA primase	No
dnaJ	chaperone protein DnaJ	No
dnaK	chaperone protein DnaK	No
dnaN	beta sliding clamp	No
dnaQ	DNA polymerase III subunit epsilon	No
dnaT	primosomal protein DnaT	No
dnaX	DNA polymerase III subunit gamma	No
dnaX	DNA polymerase III subunit tau	No
dolP	division and outer membrane stress-associated	No
dosC	diguanylate cyclase DosC	No
